account_id,linked_phone,linked_device_id,kyc_address_hash,account_age_days,bank_name,bank_ifsc,account_status
ACC0000001,+919333300602,DEV000001,ADDR5145312672,353,Yes Bank,YES 0115186,active
ACC0000002,+917231253880,DEV000002,ADDR5340066657,2831,ICICI,ICIC0896883,reported
ACC0000003,+918854955691,DEV000003,ADDR85013404,2399,SBI,SBI0881849,active
ACC0000004,+918670708202,DEV000004,ADDR3435075170,1618,PNB,PNB0729406,active
ACC0000005,+918932567556,DEV000005,ADDR9882420739,1597,ICICI,ICIC0322673,active
ACC0000006,+918638019470,DEV000006,ADDR229498098,3138,IndusInd,INDU0873326,frozen
ACC0000007,+918163611256,DEV000007,ADDR7492774702,341,SBI,SBI0358738,frozen
ACC0000008,+918859375236,DEV000008,ADDR6074902946,2554,Axis,AXIS0293039,active
ACC0000009,+917602094903,DEV000009,ADDR7459764292,759,HDFC,HDFC0640531,active
ACC0000010,+919733219954,DEV000010,ADDR9888402600,370,HDFC,HDFC0156736,active
ACC0000011,+919628726724,DEV000011,ADDR7371664096,1935,Kotak,KOTA0996499,active
ACC0000012,+919936065840,DEV000012,ADDR3902202915,3561,ICICI,ICIC0712638,active
ACC0000013,+917141532806,DEV000013,ADDR186210763,2693,Axis,AXIS0770722,active
ACC0000014,+919857171541,DEV000014,ADDR7451005554,2785,Axis,AXIS0692451,active
ACC0000015,+918811798805,DEV000015,ADDR8595764867,2627,SBI,SBI0737640,reported
ACC0000016,+918385456572,DEV000016,ADDR5329167687,2875,PNB,PNB0929651,active
ACC0000017,+917269745175,DEV000017,ADDR5313722085,1887,HDFC,HDFC0588249,active
ACC0000018,+918713805197,DEV000018,ADDR2358186993,493,PNB,PNB0125630,reported
ACC0000019,+918494910601,DEV000019,ADDR1270966323,3069,IndusInd,INDU0246500,active
ACC0000020,+917366716574,DEV000020,ADDR6496522148,1660,HDFC,HDFC0377870,active
ACC0000021,+917568366332,DEV000021,ADDR3567539349,1841,HDFC,HDFC0382937,active
ACC0000022,+918723419954,DEV000022,ADDR1270461565,1372,PNB,PNB0104099,active
ACC0000023,+918371019295,DEV000023,ADDR8777321227,690,IndusInd,INDU0416963,active
ACC0000024,+918074050605,DEV000024,ADDR9724052873,3384,Axis,AXIS0925999,active
ACC0000025,+919046318398,DEV000025,ADDR9234105488,2859,SBI,SBI0312034,active
ACC0000026,+917845815954,DEV000026,ADDR2350739721,2360,PNB,PNB0190218,reported
ACC0000027,+919072224028,DEV000027,ADDR6850737717,1486,HDFC,HDFC0125216,active
ACC0000028,+917159870682,DEV000028,ADDR5926243987,3008,IndusInd,INDU0749839,active
ACC0000029,+918170690479,DEV000029,ADDR8482600849,2004,SBI,SBI0112608,active
ACC0000030,+917705595636,DEV000030,ADDR3626106113,1635,HDFC,HDFC0590793,active
ACC0000031,+919792807496,DEV000031,ADDR8847285099,1660,Axis,AXIS0607737,frozen
ACC0000032,+917277614208,DEV000032,ADDR8868166025,852,HDFC,HDFC0200865,active
ACC0000033,+918302931894,DEV000033,ADDR4741389564,363,Yes Bank,YES 0801785,active
ACC0000034,+917512420214,DEV000034,ADDR6224615137,2037,Axis,AXIS0684331,active
ACC0000035,+918560452156,DEV000035,ADDR9109448838,3244,Yes Bank,YES 0282337,frozen
ACC0000036,+917620402113,DEV040777,ADDR730042167,261,HDFC,HDFC0347054,active
ACC0000037,+918011809548,DEV000036,ADDR7866278747,3137,SBI,SBI0810597,reported
ACC0000038,+919383365655,DEV000037,ADDR8262601174,3026,IndusInd,INDU0444504,active
ACC0000039,+918932097383,DEV000038,ADDR5195277506,1031,HDFC,HDFC0836733,active
ACC0000040,+918883370158,DEV000039,ADDR7486769246,2316,ICICI,ICIC0822950,active
ACC0000041,+919270314306,DEV000040,ADDR587946776,628,Axis,AXIS0353258,active
ACC0000042,+919116530657,DEV000041,ADDR6181623335,2774,Axis,AXIS0235495,reported
ACC0000043,+917255393549,DEV000042,ADDR2457123710,2565,SBI,SBI0893238,active
ACC0000044,+918961641078,DEV031066,ADDR4421500450,1313,PNB,PNB0612715,frozen
ACC0000045,+917115410450,DEV000043,ADDR2708270536,275,ICICI,ICIC0597774,active
ACC0000046,+917026787658,DEV000044,ADDR7392059383,3543,IndusInd,INDU0760183,active
ACC0000047,+919437357098,DEV000045,ADDR2776060262,1643,HDFC,HDFC0774307,active
ACC0000048,+919275114956,DEV000046,ADDR2681556841,3263,ICICI,ICIC0331328,reported
ACC0000049,+918465009779,DEV000047,ADDR2068240468,2484,Axis,AXIS0613297,active
ACC0000050,+918164317004,DEV000048,ADDR1271363777,2847,PNB,PNB0557352,active
ACC0000051,+918485573946,DEV000049,ADDR7311256613,2780,HDFC,HDFC0471823,active
ACC0000052,+917240549473,DEV000050,ADDR1038824826,734,Axis,AXIS0459816,active
ACC0000053,+918747376179,DEV000051,ADDR3835092396,1347,HDFC,HDFC0369751,reported
ACC0000054,+919736324598,DEV000052,ADDR4670175842,1719,Yes Bank,YES 0562250,frozen
ACC0000055,+919565259704,DEV000053,ADDR8489589480,1832,IndusInd,INDU0517162,active
ACC0000056,+917881087337,DEV000054,ADDR6348004775,188,PNB,PNB0168022,active
ACC0000057,+918462501098,DEV000055,ADDR3404103884,2008,ICICI,ICIC0558826,active
ACC0000058,+919686481151,DEV016837,ADDR7421107883,588,SBI,SBI0233456,frozen
ACC0000059,+919039311055,DEV000056,ADDR4294542546,2721,ICICI,ICIC0565371,reported
ACC0000060,+918711426072,DEV000057,ADDR6364917508,2502,HDFC,HDFC0474307,reported
ACC0000061,+918031633711,DEV000058,ADDR2353688767,3369,HDFC,HDFC0598928,active
ACC0000062,+919870273318,DEV000059,ADDR7026051580,2726,SBI,SBI0336183,active
ACC0000063,+917888865715,DEV000060,ADDR5783998840,1357,PNB,PNB0453950,active
ACC0000064,+919211726349,DEV000061,ADDR3728926541,3532,SBI,SBI0436058,reported
ACC0000065,+919330323229,DEV032670,ADDR4377290578,1517,Yes Bank,YES 0425042,frozen
ACC0000066,+919812850098,DEV000062,ADDR763212932,1209,SBI,SBI0684493,active
ACC0000067,+917503126812,DEV000063,ADDR7617286620,3308,Kotak,KOTA0211924,active
ACC0000068,+917799671965,DEV000064,ADDR639862843,1371,Kotak,KOTA0402095,active
ACC0000069,+917833886627,DEV000065,ADDR418632764,306,HDFC,HDFC0590893,active
ACC0000070,+918391422800,DEV000066,ADDR2003408541,1729,Kotak,KOTA0202051,active
ACC0000071,+918276023727,DEV000067,ADDR2366660806,2910,Yes Bank,YES 0288454,active
ACC0000072,+919771571482,DEV000068,ADDR292425251,715,SBI,SBI0508560,frozen
ACC0000073,+917831491288,DEV000069,ADDR4564532719,1705,Kotak,KOTA0526022,active
ACC0000074,+919803396076,DEV000070,ADDR614535113,500,SBI,SBI0548780,active
ACC0000075,+917919833680,DEV000071,ADDR9862112231,2515,SBI,SBI0210889,active
ACC0000076,+918847552933,DEV000072,ADDR7002549943,1752,IndusInd,INDU0456081,active
ACC0000077,+917200502607,DEV000073,ADDR4188031324,1225,SBI,SBI0816535,active
ACC0000078,+918687116294,DEV000074,ADDR4039663641,851,SBI,SBI0359064,active
ACC0000079,+917663883957,DEV000075,ADDR9888263185,2073,Kotak,KOTA0708276,active
ACC0000080,+917024516169,DEV000076,ADDR3672334607,2454,Kotak,KOTA0327704,reported
ACC0000081,+917887107070,DEV000077,ADDR2938412158,3433,PNB,PNB0937431,reported
ACC0000082,+919119358332,DEV000078,ADDR4249704849,1612,ICICI,ICIC0909395,active
ACC0000083,+918773328704,DEV000079,ADDR353034977,611,Yes Bank,YES 0705133,active
ACC0000084,+917240990002,DEV000080,ADDR448939142,3044,SBI,SBI0881163,active
ACC0000085,+917555962724,DEV000081,ADDR5388390925,2309,Kotak,KOTA0233732,active
ACC0000086,+919739996967,DEV000082,ADDR3234532579,2564,HDFC,HDFC0736712,active
ACC0000087,+917167581992,DEV000083,ADDR4960877049,381,Yes Bank,YES 0379189,active
ACC0000088,+919705652757,DEV000084,ADDR7798822766,1160,Axis,AXIS0287938,active
ACC0000089,+919139317115,DEV000085,ADDR3506876799,2809,Kotak,KOTA0585146,frozen
ACC0000090,+917137697067,DEV000086,ADDR7270769277,3042,Yes Bank,YES 0842184,active
ACC0000091,+918914175435,DEV000087,ADDR2220617011,1605,Yes Bank,YES 0153481,active
ACC0000092,+918058653236,DEV000088,ADDR7706088411,2943,Axis,AXIS0972697,active
ACC0000093,+919017871749,DEV000089,ADDR908520510,3076,Yes Bank,YES 0245580,active
ACC0000094,+918019269434,DEV000090,ADDR1549260187,1432,PNB,PNB0172324,active
ACC0000095,+918699113413,DEV000091,ADDR6413628388,3281,SBI,SBI0462540,reported
ACC0000096,+918800763985,DEV000092,ADDR1257104906,1073,Axis,AXIS0161728,reported
ACC0000097,+919306738870,DEV000093,ADDR7875782143,897,SBI,SBI0772838,active
ACC0000098,+917186191881,DEV000094,ADDR2707316212,2500,Yes Bank,YES 0202993,active
ACC0000099,+918039109583,DEV000095,ADDR1870501853,2335,SBI,SBI0317783,reported
ACC0000100,+917388996100,DEV000096,ADDR4964663394,535,Kotak,KOTA0367054,reported
ACC0000101,+918865597956,DEV000097,ADDR6947835927,3044,HDFC,HDFC0970849,active
ACC0000102,+919615350224,DEV000098,ADDR8082860575,753,SBI,SBI0995492,active
ACC0000103,+919760505458,DEV000099,ADDR2582191915,2943,Kotak,KOTA0333395,active
ACC0000104,+918899349969,DEV000100,ADDR567709210,56,SBI,SBI0767510,reported
