call_id,caller_id,callee_id,call_timestamp,call_duration_sec,is_spoofed_number,call_frequency_24h
CALL0000001,+919751814168,+919751814168,2024-02-05 21:00:00,4931,0,12
CALL0000002,+919751814168,+919751814168,2024-01-08 08:00:00,3742,0,14
CALL0000003,+919751814168,+919751814168,2024-05-09 07:00:00,4592,0,7
CALL0000004,+919751814168,+919751814168,2024-01-17 09:00:00,9555,1,7
CALL0000005,+919751814168,+919751814168,2024-12-10 16:00:00,9692,0,12
CALL0000006,+919751814168,+919751814168,2024-11-06 23:00:00,5446,1,7
CALL0000007,+919751814168,+919751814168,2024-12-14 14:00:00,5898,0,8
CALL0000008,+917783785281,+918556633464,2024-06-25 00:00:00,8625,0,6
CALL0000009,+918556633464,+918556633464,2024-06-14 10:00:00,683,0,4
CALL0000010,+918964310359,+918556633464,2024-07-20 08:00:00,6846,0,8
CALL0000011,+918556633464,+918964310359,2024-02-27 12:00:00,9343,1,5
CALL0000012,+918556633464,+917783785281,2024-03-09 20:00:00,2365,1,2
CALL0000013,+918556633464,+918556633464,2024-04-03 23:00:00,6557,1,8
CALL0000014,+918964310359,+917783785281,2024-12-13 11:00:00,4088,1,7
CALL0000015,+918964310359,+917783785281,2024-01-04 18:00:00,5653,1,7
CALL0000016,+918556633464,+918556633464,2024-10-14 14:00:00,8890,0,6
CALL0000017,+918150705334,+918150705334,2024-02-25 09:00:00,5594,0,2
CALL0000018,+918854722234,+918150705334,2024-11-21 00:00:00,3125,0,2
CALL0000019,+918854722234,+918150705334,2024-08-06 13:00:00,7979,1,14
CALL0000020,+918150705334,+918150705334,2024-06-24 05:00:00,585,0,3
CALL0000021,+918150705334,+918854722234,2024-05-28 01:00:00,6999,0,7
CALL0000022,+918150705334,+918150705334,2024-03-03 18:00:00,3285,0,15
CALL0000023,+919632641634,+919632641634,2024-07-17 11:00:00,1948,0,4
CALL0000024,+917048048736,+919632641634,2024-01-13 22:00:00,10243,1,5
CALL0000025,+919632641634,+917048048736,2024-01-25 06:00:00,1029,1,7
CALL0000026,+917048048736,+919632641634,2024-09-15 07:00:00,1054,1,13
CALL0000027,+917674722923,+919632641634,2024-04-23 11:00:00,4573,1,15
