report_id,victim_id,reported_account_id,reported_phone,complaint_timestamp,complaint_type,amount_lost,jurisdiction_state,jurisdiction_district,ncrb_category_code,evidence_attached
RPT0000001,VIC387588,ACC0000002,+917231253880,2024-12-25 13:00:00,UPI_fraud,257.08,West Bengal,WestBengal_D1,NCRB-UPI-02,1
RPT0000002,VIC186022,ACC0000006,+918638019470,2024-10-01 14:00:00,UPI_fraud,334.7,Uttar Pradesh,UttarPradesh_D1,NCRB-UPI-02,1
RPT0000003,VIC358438,ACC0000006,+918638019470,2024-01-27 17:00:00,digital_arrest,348.06,Uttar Pradesh,UttarPradesh_D1,NCRB-DA-01,1
RPT0000004,VIC650533,ACC0000007,+918163611256,2024-01-01 04:00:00,investment_scam,196.53,Maharashtra,Maharashtra_D1,NCRB-IS-05,1
RPT0000005,VIC462118,ACC0000007,+918163611256,2024-10-30 11:00:00,digital_arrest,164.69,Maharashtra,Maharashtra_D1,NCRB-DA-01,1
RPT0000006,VIC648881,ACC0000007,+918163611256,2024-04-27 10:00:00,digital_arrest,188.77,Maharashtra,Maharashtra_D1,NCRB-DA-01,1
RPT0000007,VIC993301,ACC0000015,+918811798805,2024-03-29 07:00:00,digital_arrest,1351.66,Uttar Pradesh,UttarPradesh_D3,NCRB-DA-01,1
RPT0000008,VIC643032,ACC0000018,+918713805197,2024-06-05 18:00:00,counterfeit_currency,102.33,Delhi,Delhi_D1,NCRB-CC-03,0
RPT0000009,VIC322386,ACC0000026,+917845815954,2024-02-09 19:00:00,UPI_fraud,311.38,Andhra Pradesh,AndhraPradesh_D1,NCRB-UPI-02,1
RPT0000010,VIC920208,ACC0000031,+919792807496,2024-10-05 06:00:00,phishing,223.9,Telangana,Telangana_D2,NCRB-PH-04,1
RPT0000011,VIC941380,ACC0000035,+918560452156,2024-10-24 12:00:00,phishing,835.09,West Bengal,WestBengal_D2,NCRB-PH-04,1
RPT0000012,VIC602229,ACC0000037,+918011809548,2024-11-18 20:00:00,phishing,699.84,Karnataka,Karnataka_D1,NCRB-PH-04,1
RPT0000013,VIC773895,ACC0000042,+919116530657,2024-11-23 22:00:00,investment_scam,144.06,Delhi,Delhi_D1,NCRB-IS-05,1
RPT0000014,VIC563883,ACC0000044,+918961641078,2024-09-18 13:00:00,counterfeit_currency,225.88,Rajasthan,Rajasthan_D2,NCRB-CC-03,1
RPT0000015,VIC919010,ACC0000044,+918961641078,2024-06-16 17:00:00,counterfeit_currency,227.08,Rajasthan,Rajasthan_D2,NCRB-CC-03,1
RPT0000016,VIC385290,ACC0000048,+919275114956,2024-01-10 16:00:00,UPI_fraud,1461.06,Delhi,Delhi_D1,NCRB-UPI-02,0
RPT0000017,VIC802833,ACC0000053,+918747376179,2024-12-18 04:00:00,phishing,838.85,West Bengal,WestBengal_D1,NCRB-PH-04,1
RPT0000018,VIC586943,ACC0000054,+919736324598,2024-08-27 09:00:00,investment_scam,1136.56,Rajasthan,Rajasthan_D3,NCRB-IS-05,1
RPT0000019,VIC110007,ACC0000054,+919736324598,2024-04-11 14:00:00,UPI_fraud,1103.92,Rajasthan,Rajasthan_D3,NCRB-UPI-02,1
RPT0000020,VIC923998,ACC0000054,+919736324598,2024-05-21 23:00:00,UPI_fraud,1829.96,Rajasthan,Rajasthan_D3,NCRB-UPI-02,0
RPT0000021,VIC830531,ACC0000054,+919736324598,2024-12-17 19:00:00,UPI_fraud,1188.93,Rajasthan,Rajasthan_D3,NCRB-UPI-02,1
RPT0000022,VIC125208,ACC0000054,+919736324598,2024-09-11 04:00:00,UPI_fraud,808.85,Rajasthan,Rajasthan_D3,NCRB-UPI-02,0
RPT0000023,VIC481104,ACC0000058,+919686481151,2024-09-22 22:00:00,phishing,171.75,Uttar Pradesh,UttarPradesh_D2,NCRB-PH-04,1
RPT0000024,VIC605792,ACC0000059,+919039311055,2024-01-21 00:00:00,digital_arrest,285.3,Maharashtra,Maharashtra_D1,NCRB-DA-01,1
RPT0000025,VIC323169,ACC0000060,+918711426072,2024-03-28 01:00:00,investment_scam,94.72,Karnataka,Karnataka_D3,NCRB-IS-05,0
RPT0000026,VIC225223,ACC0000064,+919211726349,2024-07-07 17:00:00,phishing,131.44,Karnataka,Karnataka_D2,NCRB-PH-04,1
RPT0000027,VIC242252,ACC0000065,+919330323229,2024-10-12 22:00:00,counterfeit_currency,194.31,Karnataka,Karnataka_D3,NCRB-CC-03,0
RPT0000028,VIC614138,ACC0000072,+919771571482,2024-11-27 18:00:00,investment_scam,786.45,Uttar Pradesh,UttarPradesh_D2,NCRB-IS-05,1
RPT0000029,VIC131359,ACC0000080,+917024516169,2024-07-22 16:00:00,investment_scam,207.71,Maharashtra,Maharashtra_D2,NCRB-IS-05,1
RPT0000030,VIC191372,ACC0000081,+917887107070,2024-11-30 20:00:00,phishing,203.32,Rajasthan,Rajasthan_D1,NCRB-PH-04,1
RPT0000031,VIC664286,ACC0000089,+919139317115,2024-12-18 04:00:00,digital_arrest,671.3,Rajasthan,Rajasthan_D3,NCRB-DA-01,1
RPT0000032,VIC312231,ACC0000089,+919139317115,2024-08-20 05:00:00,phishing,1056.38,Rajasthan,Rajasthan_D3,NCRB-PH-04,1
RPT0000033,VIC196574,ACC0000095,+918699113413,2024-05-29 19:00:00,counterfeit_currency,307.11,Andhra Pradesh,AndhraPradesh_D3,NCRB-CC-03,0
RPT0000034,VIC537572,ACC0000096,+918800763985,2024-07-11 00:00:00,investment_scam,160.35,Delhi,Delhi_D1,NCRB-IS-05,1
RPT0000035,VIC178654,ACC0000099,+918039109583,2024-08-16 17:00:00,digital_arrest,297.24,Maharashtra,Maharashtra_D2,NCRB-DA-01,1
RPT0000036,VIC567126,ACC0000100,+917388996100,2024-12-15 16:00:00,investment_scam,86.47,Maharashtra,Maharashtra_D2,NCRB-IS-05,0
RPT0000037,VIC756200,ACC0000104,+918899349969,2024-06-15 19:00:00,counterfeit_currency,1913.28,Delhi,Delhi_D1,NCRB-CC-03,1
RPT0000038,VIC794170,ACC0000106,+917069761886,2024-06-28 11:00:00,counterfeit_currency,381.34,Uttar Pradesh,UttarPradesh_D2,NCRB-CC-03,0
RPT0000039,VIC176830,ACC0000106,+917069761886,2024-11-05 01:00:00,digital_arrest,775.72,Uttar Pradesh,UttarPradesh_D2,NCRB-DA-01,1
RPT0000040,VIC410599,ACC0000108,+918026058212,2024-06-02 10:00:00,investment_scam,262.67,Gujarat,Gujarat_D1,NCRB-IS-05,1
RPT0000041,VIC354094,ACC0000108,+918026058212,2024-06-15 21:00:00,investment_scam,273.54,Gujarat,Gujarat_D1,NCRB-IS-05,1
RPT0000042,VIC502444,ACC0000112,+918651324278,2024-11-09 20:00:00,UPI_fraud,375.6,Uttar Pradesh,UttarPradesh_D2,NCRB-UPI-02,1
RPT0000043,VIC292439,ACC0000113,+919765944661,2024-07-28 10:00:00,counterfeit_currency,379.67,West Bengal,WestBengal_D1,NCRB-CC-03,1
RPT0000044,VIC135780,ACC0000117,+918445874739,2024-12-06 12:00:00,phishing,135.88,Andhra Pradesh,AndhraPradesh_D2,NCRB-PH-04,1
RPT0000045,VIC480964,ACC0000117,+918445874739,2024-09-09 00:00:00,investment_scam,79.49,Andhra Pradesh,AndhraPradesh_D2,NCRB-IS-05,1
RPT0000046,VIC372197,ACC0000118,+918439834461,2024-09-30 22:00:00,UPI_fraud,199.11,Uttar Pradesh,UttarPradesh_D1,NCRB-UPI-02,0
RPT0000047,VIC498530,ACC0000122,+919507918895,2024-03-04 16:00:00,investment_scam,181.84,Rajasthan,Rajasthan_D3,NCRB-IS-05,0
RPT0000048,VIC504028,ACC0000122,+919507918895,2024-02-09 11:00:00,investment_scam,222.19,Rajasthan,Rajasthan_D3,NCRB-IS-05,1
RPT0000049,VIC953156,ACC0000130,+919609911735,2024-05-16 05:00:00,phishing,181.19,Delhi,Delhi_D3,NCRB-PH-04,0
RPT0000050,VIC387282,ACC0000134,+918669719482,2024-08-30 12:00:00,digital_arrest,162.37,Karnataka,Karnataka_D2,NCRB-DA-01,1
RPT0000051,VIC429160,ACC0000134,+918669719482,2024-01-13 04:00:00,UPI_fraud,277.69,Karnataka,Karnataka_D2,NCRB-UPI-02,1
RPT0000052,VIC946752,ACC0000136,+919194851951,2024-12-14 17:00:00,digital_arrest,266.64,Karnataka,Karnataka_D2,NCRB-DA-01,1
RPT0000053,VIC359920,ACC0000136,+919194851951,2024-01-18 00:00:00,UPI_fraud,119.49,Karnataka,Karnataka_D2,NCRB-UPI-02,1
RPT0000054,VIC451730,ACC0000136,+919194851951,2024-03-08 12:00:00,counterfeit_currency,146.34,Karnataka,Karnataka_D2,NCRB-CC-03,1
RPT0000055,VIC511545,ACC0000136,+919194851951,2024-07-04 17:00:00,UPI_fraud,256.7,Karnataka,Karnataka_D2,NCRB-UPI-02,1
RPT0000056,VIC881177,ACC0000142,+918884144268,2024-07-02 03:00:00,investment_scam,760.05,Uttar Pradesh,UttarPradesh_D1,NCRB-IS-05,0
RPT0000057,VIC994528,ACC0000142,+918884144268,2024-07-07 09:00:00,investment_scam,694.6,Uttar Pradesh,UttarPradesh_D1,NCRB-IS-05,1
RPT0000058,VIC746355,ACC0000142,+918884144268,2024-12-20 18:00:00,UPI_fraud,621.92,Uttar Pradesh,UttarPradesh_D1,NCRB-UPI-02,0
RPT0000059,VIC230602,ACC0000144,+919411125267,2024-07-08 20:00:00,UPI_fraud,4154.79,Karnataka,Karnataka_D1,NCRB-UPI-02,1
